beta,Hdiag_value,Hdiag_std,Hoffdiag_value,Hoffdiag_std,Hdiag_Eint_value,Hdiag_Eint_std,Hdiag_Fint_value,Hdiag_Fint_std,Hoffdiag_Eint_value,Hoffdiag_Eint_std,Hoffdiag_Fint_value,Hoffdiag_Fint_std,mc_steps,avg_q,max_q,avg_sgn,sgn_std,tot_cpu_time (s),wall_time (s),Tsteps,steps,Hdiag_test,Hoffdiag_test,Hdiag_Eint_test,Hdiag_Fint_test,Hoffdiag_Eint_test,Hoffdiag_Fint_test,diag_ES_value,diag_ES_std,diag_FS_value,diag_FS_std,offdiag_ES_value,offdiag_ES_std,offdiag_FS_value,offdiag_FS_std
0.16551724137931034,-2.524748,0.00386633501,-5.63223228,0.0127831732,3.53104166,0.00455861664,0.0725425288,9.41022774e-05,11.8903288,0.0611424926,0.245493297,0.00126452931,1000000000,0.932324,14,1,0,1681.9452,22.7508404,1000000,10000000,True,True,True,True,True,True,2.47597642,0.00358651681,0.0507135928,7.38174091e-05,6.63978416,0.0407869306,0.136861339,0.000843617763
0.1,-1.577624,0.00393450551,-3.26783005,0.0100551043,1.81181134,0.00247459057,0.022579064,3.09125719e-05,4.49713163,0.0288171774,0.0561455676,0.000360047545,1000000000,0.326804,12,1,0,1138.14314,15.9421765,1000000,10000000,True,True,True,True,True,True,1.5629216,0.00219146124,0.0194679422,2.73640828e-05,3.42926031,0.0233064947,0.0427971761,0.000291190129
0.23103448275862068,-3.345832,0.00378897574,-8.56581462,0.0179699009,5.84049424,0.00653285471,0.166599106,0.000188603116,29.3435077,0.14764206,0.845349927,0.00426089039,1000000000,1.978824,20,1,0,1968.49768,25.3284269,1000000,10000000,True,True,True,True,True,True,3.25415752,0.0045237946,0.0919074852,0.000132282171,12.391773,0.0829210705,0.355795519,0.00239203687
0.296551724137931,-3.95196,0.0036610381,-12.3605472,0.0210648942,8.48101777,0.00933077388,0.308382269,0.000343145606,66.6088398,0.248470716,2.4631205,0.00919825037,1000000000,3.665286,24,1,0,2347.98737,29.5737982,1000000,10000000,True,True,True,True,True,True,3.84947654,0.00594015565,0.136695828,0.000219699446,21.3007397,0.107326406,0.783596099,0.00396854616
0.3620689655172413,-4.288328,0.00387792876,-17.0598795,0.0278357265,10.8759585,0.0124614493,0.477888943,0.000565546335,135.871485,0.425780548,6.13501408,0.0192506239,1000000000,6.176558,30,1,0,3089.8473,54.7585055,1000000,10000000,True,True,True,True,True,True,4.21759819,0.00674843872,0.176540739,0.000307366989,30.4951188,0.105220231,1.36582508,0.00475097628
0.4275862068965517,-4.338048,0.00515329227,-21.8344642,0.0305645893,12.3951865,0.0192214334,0.634129786,0.00106056627,236.084085,0.622162139,12.5899157,0.0332109045,1000000000,9.337778,34,1,0,5180.77551,70.1761876,1000000,10000000,True,True,True,True,True,True,4.34858686,0.00891985862,0.204052908,0.000513725283,32.235,0.11068387,1.69453361,0.00589499167
0.49310344827586206,-4.269456,0.00521040922,-25.2755182,0.0276102111,13.3518176,0.02124953,0.776188603,0.00134452002,340.949751,0.695367178,20.9686474,0.042811269,1000000000,12.463944,36,1,0,7093.01103,90.3694566,1000000,10000000,True,True,True,True,True,True,4.36340239,0.0098517409,0.222161289,0.00070515784,25.9297162,0.0972324797,1.55146425,0.00600755729
0.5586206896551723,-4.187896,0.00482816859,-27.3929184,0.0212143928,14.1091562,0.0235463402,0.916378514,0.00166526586,437.08509,0.647493235,30.451767,0.0451887868,1000000000,15.304596,40,1,0,8449.7995,108.542057,1000000,10000000,True,True,True,True,True,True,4.31180239,0.0114676889,0.232252945,0.000904580578,17.9117793,0.116446855,1.18190651,0.00813559115
0.6241379310344827,-4.123796,0.00431975867,-28.5473867,0.019082676,14.8694743,0.021746751,1.06816032,0.00171072257,521.187973,0.673446386,40.5697329,0.0525109648,1000000000,17.817196,44,1,0,9884.93292,124.271692,1000000,10000000,True,True,True,True,True,True,4.25557602,0.0105659391,0.240093248,0.000903029881,12.5447145,0.100338236,0.886788966,0.00784468836
0.689655172413793,-4.088064,0.00469692604,-29.1960419,0.017011995,15.736243,0.0251718793,1.23935525,0.00221701005,597.163621,0.689249964,51.3624051,0.0593524861,1000000000,20.135386,46,1,0,11056.7086,140.896151,1000000,10000000,True,True,True,True,True,True,4.21054144,0.0115960354,0.245760286,0.00119886796,9.29544035,0.105082566,0.68411364,0.00912949596
0.7551724137931034,-4.078412,0.00475846493,-29.5061238,0.0165206295,16.7145014,0.0271458641,1.43421193,0.00245755819,664.557899,0.744282984,62.5883947,0.0703178356,1000000000,22.286332,50,1,0,12326.9479,154.527738,1000000,10000000,True,True,True,True,True,True,4.153383,0.0111046011,0.248485671,0.00118424045,7.09623247,0.0940081611,0.526280513,0.00878758088
0.8206896551724137,-4.06434,0.00446993232,-29.6918051,0.0163137936,17.7236361,0.0269119677,1.64703828,0.00284337812,729.581661,0.808033819,74.673853,0.0828805167,1000000000,24.367252,52,1,0,13419.2563,171.012036,1000000,10000000,True,True,True,True,True,True,4.16677891,0.0124432257,0.256291725,0.00143554343,6.05896043,0.089431473,0.450403449,0.00929074015
0.886206896551724,-4.0511088,0.00176781407,-29.8180339,0.00311408691,18.692092,0.0093215061,1.87015722,0.000941836861,793.18371,0.169172312,87.6651339,0.0188220686,50000000000,26.4234112,60,1,0,619980.972,9518.68301,10000000,500000000,True,True,True,True,True,True,4.14812299,0.00651261216,0.259036522,0.000905487137,5.24373503,0.0258837093,0.380403892,0.00293768508
0.9517241379310344,-4.0481464,0.00160963284,-29.8798884,0.00357923034,19.7453454,0.00938694847,2.11841767,0.00106481944,854.59663,0.210991093,101.436933,0.0251794182,50000000000,28.4355248,60,1,0,593297.518,10180.936,10000000,500000000,True,True,True,True,True,True,4.14897626,0.00630665564,0.262987554,0.000925209969,4.88996027,0.0314623178,0.3511391,0.00371867702
1.0172413793103448,-4.045844,0.0019152201,-29.9181611,0.00367786772,20.7848653,0.0112842312,2.38219451,0.00134299201,915.142566,0.229167142,116.104402,0.0293100518,50000000000,30.4332412,64,1,0,741319.524,9108.94153,10000000,500000000,True,True,True,True,True,True,4.13379,0.00782365535,0.264924163,0.00122857949,4.61350872,0.0295744458,0.325922879,0.00381214439
1.0827586206896551,-4.0422464,0.00175565034,-29.9368812,0.00350576322,21.8341126,0.0119556707,2.66328735,0.00158710045,974.794557,0.232760544,131.641554,0.0315948431,50000000000,32.412864,68,1,0,972412.318,12562.8523,10000000,500000000,True,True,True,True,True,True,4.14210101,0.00619739249,0.268765088,0.00108676934,4.40802734,0.0299596673,0.304756841,0.0041210518
1.1482758620689655,-4.0424096,0.00180739394,-29.9535057,0.0034362616,22.9050333,0.0122049137,2.964366,0.00167734921,1034.58402,0.241819183,148.175187,0.0348078642,50000000000,34.3935748,70,1,0,960845.825,10770.5804,10000000,500000000,True,True,True,True,True,True,4.14097084,0.00817601437,0.271076004,0.00136189222,4.33656056,0.0279524399,0.299149873,0.00406984221
1.2137931034482758,-4.046072,0.00190414548,-29.9533783,0.00313619754,23.9898133,0.0133066739,3.28232666,0.00188141701,1093.24005,0.237462119,165.513397,0.0362030912,50000000000,36.3601204,80,1,0,1132022.09,14482.1653,10000000,500000000,True,True,True,True,True,True,4.11917222,0.00794294871,0.267470771,0.00155897409,4.21896257,0.0302841103,0.282611376,0.0048232895
1.2793103448275862,-4.0445016,0.00179893961,-29.9564325,0.00325588755,25.0565277,0.0125679807,3.61701674,0.00197154471,1152.27119,0.254227241,183.87419,0.0407900405,50000000000,38.32614,76,1,0,1054235.9,12264.2105,10000000,500000000,True,True,True,True,True,True,4.12957776,0.00834413523,0.270508806,0.00150987088,4.23363934,0.0303978905,0.287149687,0.00481466382
1.3448275862068966,-4.042988,0.00172077854,-29.9637809,0.0031235632,26.1193246,0.0120131667,3.9681546,0.00203880258,1211.63129,0.267272529,203.256804,0.0449752203,50000000000,40.2953732,78,1,0,1283597.02,16961.0872,10000000,500000000,True,True,True,True,True,True,4.13710644,0.0094735363,0.27286793,0.00191613743,4.20720437,0.0330882857,0.284651634,0.00569902754
1.410344827586207,-4.0421944,0.00196635531,-29.9672899,0.0029313435,27.1708129,0.0153959812,4.33484644,0.0026673277,1270.70563,0.256247381,223.561458,0.0452632591,50000000000,42.265046,80,1,0,1575518.1,17661.6467,10000000,500000000,True,True,True,True,True,True,4.12671546,0.0101060461,0.272330994,0.00206601475,4.16172082,0.029788895,0.278502199,0.00540773226
1.475862068965517,-4.0421984,0.00153965368,-29.9683135,0.00278727377,28.2581797,0.0117063295,4.72571932,0.00226158969,1329.60799,0.248056366,244.802323,0.0457697183,50000000000,44.2268112,84,1,0,1304752.56,14795.6034,10000000,500000000,True,True,True,True,True,True,4.1435264,0.00988830913,0.276981555,0.00208282677,4.1365479,0.0314438362,0.275694142,0.0060152061
1.5413793103448274,-4.0410376,0.00188431706,-29.9662681,0.00282807748,29.310562,0.0157685719,5.12525824,0.00299636066,1388.30854,0.267213179,266.966678,0.0516479636,50000000000,46.1857236,86,1,0,1398279.77,15927.5331,10000000,500000000,True,True,True,True,True,True,4.13986117,0.0119381933,0.275558556,0.0026633002,4.18502024,0.0375914865,0.284259462,0.00738115914
1.6068965517241378,-4.0418976,0.0018366554,-29.9712395,0.00271175097,30.3910693,0.0155854115,5.5498247,0.00291880108,1447.64639,0.272734265,290.222661,0.0552867958,50000000000,48.1581768,90,1,0,1518827.02,21891.0953,10000000,500000000,True,True,True,True,True,True,4.13930285,0.0123826337,0.276840571,0.00304558158,4.21107662,0.0370589916,0.2912572,0.00774070135
1.6724137931034482,-4.0407424,0.00161464052,-29.9708814,0.00311821881,31.4469133,0.0143163365,5.98681416,0.00315369445,1506.38381,0.319159844,314.324915,0.0667322315,50000000000,50.1217044,92,1,0,1780249.2,23568.2006,10000000,500000000,True,True,True,True,True,True,4.14041125,0.0116004806,0.278342833,0.00291011841,4.13187371,0.0336379314,0.276558046,0.00719628026
1.7379310344827585,-4.0455576,0.00168810338,-29.9629343,0.00268184464,32.5623061,0.0148935506,6.4511545,0.00333058968,1564.42314,0.28750047,339.234716,0.0626157502,50000000000,52.0774096,94,1,0,1831878.49,24291.2459,10000000,500000000,True,True,True,True,True,True,4.1183947,0.0120898143,0.271959962,0.00299937953,4.14788547,0.0334192327,0.278366578,0.00759285039
1.803448275862069,-4.0447456,0.00211766576,-29.9665305,0.00327722773,33.6250824,0.0202763838,6.92286497,0.00455792321,1623.60515,0.370967891,365.353717,0.0836815811,50000000000,54.0446876,98,1,0,1784623.15,18474.1972,10000000,500000000,True,True,True,True,True,True,4.12072814,0.0135853224,0.271667872,0.00355857444,4.12132017,0.0382807546,0.271801332,0.00889256286
1.8689655172413793,-4.0428904,0.00170341419,-29.9692895,0.00322565593,34.671198,0.0175232255,7.4100991,0.00410814783,1682.79655,0.365570501,392.446281,0.0856833453,50000000000,56.0121688,102,1,0,1990300.8,21519.9888,10000000,500000000,True,True,True,True,True,True,4.12302613,0.0119935679,0.273414126,0.00341511517,4.16963205,0.0308644005,0.284302234,0.00755756739
1.9344827586206894,-4.0427176,0.00184006551,-29.9700206,0.002796184,35.7468558,0.0185080348,7.92013521,0.00432966715,1741.66235,0.332349567,420.42815,0.0805164542,50000000000,57.9770236,104,1,0,2380899.68,29754.4723,10000000,500000000,True,True,True,True,True,True,4.13050997,0.0138355333,0.27497572,0.00384954429,4.10581291,0.03372863,0.269003714,0.00833873256
2.0,-4.0413728,0.00157514789,-29.9693591,0.00244471369,36.7951504,0.0165154866,8.4440064,0.00430882535,1800.46654,0.301431598,449.361854,0.0753306988,50000000000,59.9371072,106,1,0,2065637.21,21485.1429,10000000,500000000,True,True,True,True,True,True,4.12976219,0.0126498399,0.277659346,0.00368155485,4.14157059,0.0352682196,0.280611445,0.00894060826
4.0,-4.0425168,0.00152944473,-29.9677814,0.00506168039,69.5130188,0.0433567674,32.9702927,0.0217991307,3596.46428,1.22657743,1796.44592,0.613819328,10000000000,119.867112,182,1,0,5095085.33,51861.4574,1000000,100000000,True,True,True,True,True,True,4.14525048,0.0182412628,0.286408551,0.0101656832,4.19259702,0.0531710878,0.310081822,0.0272743211
